Date,High Temperature,Low Temperature
6/1/2013,92,61
6/2/2013,88,64
6/3/2013,80,61
6/4/2013,80,61
6/5/2013,79,60
6/6/2013,79,58
6/7/2013,81,59
6/8/2013,81,61
6/9/2013,82,62
6/10/2013,80,61
6/11/2013,88,60
6/12/2013,80,62
6/13/2013,84,61
6/14/2013,83,60
6/15/2013,82,61
6/16/2013,84,59
6/17/2013,85,60
6/18/2013,85,61
6/19/2013,83,60
6/20/2013,85,60
6/21/2013,85,61
6/22/2013,84,61
6/23/2013,83,63
6/24/2013,79,61
6/25/2013,79,62
6/26/2013,90,64
6/27/2013,97,67
6/28/2013,97,67
6/29/2013,100,73
6/30/2013,97,75
7/1/2013,97,70
7/2/2013,97,72
7/3/2013,88,67
7/4/2013,92,65
7/5/2013,87,65
7/6/2013,90,65
7/7/2013,87,65
7/8/2013,93,66
7/9/2013,93,70
7/10/2013,91,69
7/11/2013,80,69
7/12/2013,89,66
7/13/2013,89,62
7/14/2013,91,64
7/15/2013,91,66
7/16/2013,91,62
7/17/2013,90,63
7/18/2013,89,64
7/19/2013,90,65
7/20/2013,87,64
7/21/2013,76,65
7/22/2013,88,66
7/23/2013,86,66
7/24/2013,86,63
7/25/2013,88,63
7/26/2013,84,64
7/27/2013,89,65
7/28/2013,85,61
7/29/2013,85,62
7/30/2013,85,61
7/31/2013,81,59
8/1/2013,82,59
8/2/2013,83,59
8/3/2013,86,63
8/4/2013,85,60
8/5/2013,88,59
8/6/2013,86,61
8/7/2013,85,59
8/8/2013,85,60
8/9/2013,83,59
8/10/2013,82,61
8/11/2013,85,60
8/12/2013,88,61
8/13/2013,89,62
8/14/2013,94,61
8/15/2013,95,64
8/16/2013,92,67
8/17/2013,93,68
8/18/2013,92,64
8/19/2013,90,64
8/20/2013,92,62
8/21/2013,94,65
8/22/2013,96,68
8/23/2013,96,67
8/24/2013,93,64
8/25/2013,93,64
8/26/2013,94,72
8/27/2013,94,74
8/28/2013,97,74
8/29/2013,101,75
8/30/2013,98,82
8/31/2013,94,79
9/1/2013,91,73
9/2/2013,91,73
9/3/2013,99,75
9/4/2013,101,75
9/5/2013,101,77
9/6/2013,102,76
9/7/2013,101,77
9/8/2013,95,70
9/9/2013,89,66
9/10/2013,84,61
9/11/2013,84,62
9/12/2013,92,62
9/13/2013,91,66
9/14/2013,96,68
9/15/2013,99,68
9/16/2013,97,68
9/17/2013,92,62
9/18/2013,83,61
9/19/2013,86,61
9/20/2013,82,64
9/21/2013,79,62
9/22/2013,79,58
9/23/2013,94,60
9/24/2013,94,64
9/25/2013,86,61
9/26/2013,79,61
9/27/2013,83,56
9/28/2013,91,59
9/29/2013,90,60
9/30/2013,88,60
10/1/2013,85,61
10/2/2013,85,61
10/3/2013,79,61
10/4/2013,89,61
10/5/2013,92,59
10/6/2013,93,61
10/7/2013,92,63
10/8/2013,85,56
10/9/2013,74,56
10/10/2013,71,49
10/11/2013,78,52
10/12/2013,78,54
10/13/2013,76,58
10/14/2013,85,54
10/15/2013,86,58
10/16/2013,86,60
10/17/2013,84,57
10/18/2013,87,58
10/19/2013,89,59
10/20/2013,86,56
10/21/2013,82,52
10/22/2013,83,55
10/23/2013,82,57
10/24/2013,72,59
10/25/2013,78,54
10/26/2013,85,55
10/27/2013,81,56
10/28/2013,74,56
10/29/2013,65,50
10/30/2013,72,50
10/31/2013,81,51
11/1/2013,87,56
11/2/2013,87,60
11/3/2013,77,56
11/4/2013,69,56
11/5/2013,76,51
11/6/2013,84,50
11/7/2013,86,56
11/8/2013,83,55
11/9/2013,79,51
11/10/2013,84,54
11/11/2013,83,53
11/12/2013,80,57
11/13/2013,94,59
11/14/2013,91,61
11/15/2013,84,58
11/16/2013,64,56
11/17/2013,69,52
11/18/2013,69,51
11/19/2013,65,57
11/20/2013,63,56
11/21/2013,64,56
11/22/2013,62,53
11/23/2013,64,48
11/24/2013,67,47
11/25/2013,72,48
11/26/2013,77,50
11/27/2013,75,57
11/28/2013,71,52
11/29/2013,64,53
11/30/2013,75,51
12/1/2013,80,52
12/2/2013,75,53
12/3/2013,69,49
12/4/2013,61,45
12/5/2013,60,43
12/6/2013,58,42
12/7/2013,54,46
12/8/2013,56,40
12/9/2013,60,38
12/10/2013,66,37
12/11/2013,73,41
12/12/2013,69,47
12/13/2013,65,44
12/14/2013,74,45
12/15/2013,81,47
12/16/2013,85,54
12/17/2013,85,59
12/18/2013,77,60
12/19/2013,65,48
12/20/2013,63,42
12/21/2013,61,45
12/22/2013,71,45
12/23/2013,74,50
12/24/2013,78,50
12/25/2013,80,49
12/26/2013,79,49
12/27/2013,83,50
12/28/2013,75,54
12/29/2013,74,47
12/30/2013,75,47
12/31/2013,73,48
1/1/2014,77,47
1/2/2014,81,52
