Date,High Temperature,Low Temperature
2013-06-01,92,61
2013-06-02,88,64
2013-06-03,80,61
2013-06-04,80,61
2013-06-05,79,60
2013-06-06,79,58
2013-06-07,81,59
2013-06-08,81,61
2013-06-09,82,62
2013-06-10,80,61
2013-06-11,88,60
2013-06-12,80,62
2013-06-13,84,61
2013-06-14,83,60
2013-06-15,82,61
2013-06-16,84,59
2013-06-17,85,60
2013-06-18,85,61
2013-06-19,83,60
2013-06-20,85,60
2013-06-21,85,61
2013-06-22,84,61
2013-06-23,83,63
2013-06-24,79,61
2013-06-25,79,62
2013-06-26,90,64
2013-06-27,97,67
2013-06-28,97,67
2013-06-29,100,73
2013-06-30,97,75
2013-07-01,97,70
2013-07-02,97,72
2013-07-03,88,67
2013-07-04,92,65
2013-07-05,87,65
2013-07-06,90,65
2013-07-07,87,65
2013-07-08,93,66
2013-07-09,93,70
2013-07-10,91,69
2013-07-11,80,69
2013-07-12,89,66
2013-07-13,89,62
2013-07-14,91,64
2013-07-15,91,66
2013-07-16,91,62
2013-07-17,90,63
2013-07-18,89,64
2013-07-19,90,65
2013-07-20,87,64
2013-07-21,76,65
2013-07-22,88,66
2013-07-23,86,66
2013-07-24,86,63
2013-07-25,88,63
2013-07-26,84,64
2013-07-27,89,65
2013-07-28,85,61
2013-07-29,85,62
2013-07-30,85,61
2013-07-31,81,59
2013-08-01,82,59
2013-08-02,83,59
2013-08-03,86,63
2013-08-04,85,60
2013-08-05,88,59
2013-08-06,86,61
2013-08-07,85,59
2013-08-08,85,60
2013-08-09,83,59
2013-08-10,82,61
2013-08-11,85,60
2013-08-12,88,61
2013-08-13,89,62
2013-08-14,94,61
2013-08-15,95,64
2013-08-16,92,67
2013-08-17,93,68
2013-08-18,92,64
2013-08-19,90,64
2013-08-20,92,62
2013-08-21,94,65
2013-08-22,96,68
2013-08-23,96,67
2013-08-24,93,64
2013-08-25,93,64
2013-08-26,94,72
2013-08-27,94,74
2013-08-28,97,74
2013-08-29,101,75
2013-08-30,98,82
2013-08-31,94,79
2013-09-01,91,73
2013-09-02,91,73
2013-09-03,99,75
2013-09-04,101,75
2013-09-05,101,77
2013-09-06,102,76
2013-09-07,101,77
2013-09-08,95,70
2013-09-09,89,66
2013-09-10,84,61
2013-09-11,84,62
2013-09-12,92,62
2013-09-13,91,66
2013-09-14,96,68
2013-09-15,99,68
2013-09-16,97,68
2013-09-17,92,62
2013-09-18,83,61
2013-09-19,86,61
2013-09-20,82,64
2013-09-21,79,62
2013-09-22,79,58
2013-09-23,94,60
2013-09-24,94,64
2013-09-25,86,61
2013-09-26,79,61
2013-09-27,83,56
2013-09-28,91,59
2013-09-29,90,60
2013-09-30,88,60
2013-10-01,85,61
2013-10-02,85,61
2013-10-03,79,61
2013-10-04,89,61
2013-10-05,92,59
2013-10-06,93,61
2013-10-07,92,63
2013-10-08,85,56
2013-10-09,74,56
2013-10-10,71,49
2013-10-11,78,52
2013-10-12,78,54
2013-10-13,76,58
2013-10-14,85,54
2013-10-15,86,58
2013-10-16,86,60
2013-10-17,84,57
2013-10-18,87,58
2013-10-19,89,59
2013-10-20,86,56
2013-10-21,82,52
2013-10-22,83,55
2013-10-23,82,57
2013-10-24,72,59
2013-10-25,78,54
2013-10-26,85,55
2013-10-27,81,56
2013-10-28,74,56
2013-10-29,65,50
2013-10-30,72,50
2013-10-31,81,51
2013-11-01,87,56
2013-11-02,87,60
2013-11-03,77,56
2013-11-04,69,56
2013-11-05,76,51
2013-11-06,84,50
2013-11-07,86,56
2013-11-08,83,55
2013-11-09,79,51
2013-11-10,84,54
2013-11-11,83,53
2013-11-12,80,57
2013-11-13,94,59
2013-11-14,91,61
2013-11-15,84,58
2013-11-16,64,56
2013-11-17,69,52
2013-11-18,69,51
2013-11-19,65,57
2013-11-20,63,56
2013-11-21,64,56
2013-11-22,62,53
2013-11-23,64,48
2013-11-24,67,47
2013-11-25,72,48
2013-11-26,77,50
2013-11-27,75,57
2013-11-28,71,52
2013-11-29,64,53
2013-11-30,75,51
2013-12-01,80,52
2013-12-02,75,53
2013-12-03,69,49
2013-12-04,61,45
2013-12-05,60,43
2013-12-06,58,42
2013-12-07,54,46
2013-12-08,56,40
2013-12-09,60,38
2013-12-10,66,37
2013-12-11,73,41
2013-12-12,69,47
2013-12-13,65,44
2013-12-14,74,45
2013-12-15,81,47
2013-12-16,85,54
2013-12-17,85,59
2013-12-18,77,60
2013-12-19,65,48
2013-12-20,63,42
2013-12-21,61,45
2013-12-22,71,45
2013-12-23,74,50
2013-12-24,78,50
2013-12-25,80,49
2013-12-26,79,49
2013-12-27,83,50
2013-12-28,75,54
2013-12-29,74,47
2013-12-30,75,47
2013-12-31,73,48
2014-01-01,77,47
2014-01-02,81,52
2014-01-03,76,52
2014-01-04,70,50
2014-01-05,76,50
2014-01-06,77,48
2014-01-07,73,49
2014-01-08,68,47
2014-01-09,66,47
2014-01-10,73,48
2014-01-11,77,50
2014-01-12,69,48
2014-01-13,80,48
2014-01-14,83,52
2014-01-15,84,54
2014-01-16,86,54
2014-01-17,86,54
2014-01-18,87,53
2014-01-19,82,52
2014-01-20,82,51
2014-01-21,82,56
2014-01-22,80,57
2014-01-23,75,50
2014-01-24,73,54
2014-01-25,78,61
2014-01-26,72,52
2014-01-27,71,52
2014-01-28,75,50
2014-01-29,77,52
2014-01-30,76,54
2014-01-31,64,52
2014-02-01,67,46
2014-02-02,63,44
2014-02-03,63,46
2014-02-04,62,45
2014-02-05,65,46
2014-02-06,60,50
2014-02-07,61,49
2014-02-08,67,49
2014-02-09,66,52
2014-02-10,72,51
2014-02-11,78,50
2014-02-12,83,54
2014-02-13,84,56
2014-02-14,84,54
2014-02-15,82,56
2014-02-16,78,56
2014-02-17,76,54
2014-02-18,72,54
2014-02-19,71,50
2014-02-20,84,50
2014-02-21,83,55
2014-02-22,80,52
2014-02-23,76,51
2014-02-24,77,50
2014-02-25,74,53
2014-02-26,66,56
2014-02-27,70,54
2014-02-28,70,53
2014-03-01,58,51
2014-03-02,59,49
2014-03-03,72,50
2014-03-04,70,52
2014-03-05,78,52
2014-03-06,75,56
2014-03-07,74,56
2014-03-08,83,54
2014-03-09,86,60
2014-03-10,82,58
2014-03-11,80,54
2014-03-12,80,53
2014-03-13,79,55
2014-03-14,77,50
2014-03-15,86,52
2014-03-16,90,60
2014-03-17,88,57
2014-03-18,79,55
2014-03-19,81,53
2014-03-20,79,54
2014-03-21,74,54
2014-03-22,70,55
2014-03-23,74,51
2014-03-24,73,56
2014-03-25,71,57
2014-03-26,65,53
2014-03-27,69,49
2014-03-28,71,51
2014-03-29,79,53
2014-03-30,73,56
2014-03-31,71,50
2014-04-01,65,49
2014-04-02,63,47
2014-04-03,71,46
2014-04-04,69,49
2014-04-05,69,48
2014-04-06,83,50
2014-04-07,90,57
2014-04-08,94,61
2014-04-09,93,62
2014-04-10,92,58
2014-04-11,84,59
2014-04-12,84,55
2014-04-13,70,55
2014-04-14,87,52
2014-04-15,84,57
2014-04-16,82,54
2014-04-17,76,56
2014-04-18,74,57
2014-04-19,78,55
2014-04-20,83,56
2014-04-21,84,57
2014-04-22,84,58
2014-04-23,75,52
2014-04-24,82,55
2014-04-25,81,56
2014-04-26,68,49
2014-04-27,72,51
2014-04-28,82,53
2014-04-29,95,63
2014-04-30,93,64
2014-05-01,93,65
2014-05-02,98,65
2014-05-03,94,65
2014-05-04,91,61
2014-05-05,87,55
2014-05-06,74,53
2014-05-07,71,53
2014-05-08,73,55
2014-05-09,76,55
2014-05-10,76,57
2014-05-11,85,55
2014-05-12,92,63
2014-05-13,96,65
2014-05-14,102,66
2014-05-15,104,72
2014-05-16,99,70
2014-05-17,97,66
2014-05-18,87,62
2014-05-19,79,61
2014-05-20,77,58
2014-05-21,74,55
2014-05-22,75,57
2014-05-23,74,61
2014-05-24,73,59
2014-05-25,84,62
2014-05-26,84,62
2014-05-27,89,63
2014-05-28,87,63
2014-05-29,85,62
2014-05-30,87,60
2014-05-31,88,59
