Date,Fremont Bridge Total,Fremont Bridge East Sidewalk,Fremont Bridge West Sidewalk
2019-11-01 00:00:00,12,7,5
2019-11-01 01:00:00,7,0,7
2019-11-01 02:00:00,1,0,1
2019-11-01 03:00:00,6,6,0
2019-11-01 04:00:00,6,5,1
2019-11-01 05:00:00,20,9,11
2019-11-01 06:00:00,97,43,54
2019-11-01 07:00:00,299,120,179
2019-11-01 08:00:00,583,261,322
2019-11-01 09:00:00,332,130,202
2019-11-01 10:00:00,124,56,68
2019-11-01 11:00:00,94,46,48
2019-11-01 12:00:00,104,40,64
2019-11-01 13:00:00,110,46,64
2019-11-01 14:00:00,131,46,85
2019-11-01 15:00:00,214,55,159
2019-11-01 16:00:00,420,92,328
2019-11-01 17:00:00,637,137,500
2019-11-01 18:00:00,320,84,236
2019-11-01 19:00:00,115,38,77
2019-11-01 20:00:00,43,21,22
2019-11-01 21:00:00,35,9,26
2019-11-01 22:00:00,31,19,12
2019-11-01 23:00:00,21,6,15
2019-11-02 00:00:00,21,11,10
2019-11-02 01:00:00,7,1,6
2019-11-02 02:00:00,1,0,1
2019-11-02 03:00:00,8,5,3
2019-11-02 04:00:00,3,1,2
2019-11-02 05:00:00,7,5,2
2019-11-02 06:00:00,9,2,7
2019-11-02 07:00:00,27,5,22
2019-11-02 08:00:00,56,27,29
2019-11-02 09:00:00,74,39,35
2019-11-02 10:00:00,101,51,50
2019-11-02 11:00:00,188,98,90
2019-11-02 12:00:00,199,96,103
2019-11-02 13:00:00,177,75,102
2019-11-02 14:00:00,206,86,120
2019-11-02 15:00:00,203,109,94
2019-11-02 16:00:00,218,111,107
2019-11-02 17:00:00,182,96,86
2019-11-02 18:00:00,113,47,66
2019-11-02 19:00:00,62,21,41
2019-11-02 20:00:00,35,18,17
2019-11-02 21:00:00,22,8,14
2019-11-02 22:00:00,18,11,7
2019-11-02 23:00:00,27,12,15
2019-11-03 00:00:00,11,1,10
2019-11-03 01:00:00,2,0,2
2019-11-03 02:00:00,3,1,2
2019-11-03 03:00:00,2,0,2
2019-11-03 04:00:00,5,1,4
2019-11-03 05:00:00,3,0,3
2019-11-03 06:00:00,19,7,12
2019-11-03 07:00:00,26,12,14
2019-11-03 08:00:00,64,26,38
2019-11-03 09:00:00,101,36,65
2019-11-03 10:00:00,139,64,75
2019-11-03 11:00:00,189,91,98
2019-11-03 12:00:00,193,92,101
2019-11-03 13:00:00,195,91,104
2019-11-03 14:00:00,206,97,109
2019-11-03 15:00:00,179,80,99
2019-11-03 16:00:00,127,58,69
2019-11-03 17:00:00,92,44,48
2019-11-03 18:00:00,66,30,36
2019-11-03 19:00:00,39,11,28
2019-11-03 20:00:00,24,12,12
2019-11-03 21:00:00,20,10,10
2019-11-03 22:00:00,17,4,13
2019-11-03 23:00:00,13,3,10
2019-11-04 00:00:00,2,0,2
2019-11-04 01:00:00,3,3,0
2019-11-04 02:00:00,0,0,0
2019-11-04 03:00:00,1,1,0
2019-11-04 04:00:00,0,0,0
2019-11-04 05:00:00,31,12,19
2019-11-04 06:00:00,174,96,78
2019-11-04 07:00:00,566,258,308
2019-11-04 08:00:00,754,322,432
2019-11-04 09:00:00,341,141,200
2019-11-04 10:00:00,152,55,97
2019-11-04 11:00:00,97,32,65
2019-11-04 12:00:00,83,45,38
2019-11-04 13:00:00,105,48,57
2019-11-04 14:00:00,99,39,60
2019-11-04 15:00:00,191,54,137
2019-11-04 16:00:00,489,102,387
2019-11-04 17:00:00,790,137,653
2019-11-04 18:00:00,421,81,340
2019-11-04 19:00:00,138,42,96
2019-11-04 20:00:00,67,21,46
2019-11-04 21:00:00,45,14,31
2019-11-04 22:00:00,28,7,21
2019-11-04 23:00:00,19,8,11
2019-11-05 00:00:00,10,4,6
2019-11-05 01:00:00,2,1,1
2019-11-05 02:00:00,1,0,1
2019-11-05 03:00:00,6,4,2
2019-11-05 04:00:00,9,4,5
2019-11-05 05:00:00,34,19,15
2019-11-05 06:00:00,174,89,85
2019-11-05 07:00:00,537,255,282
2019-11-05 08:00:00,653,275,378
2019-11-05 09:00:00,313,123,190
